osm_id,name,golf_base,golf_elnino,golf_latest,ring_base,ring_elnino,ring_latest,gap_elnino,gap_base,irrigation_signal
220338864,Mayon Golf Course,0.6395,0.6544,0.5855,0.6119,0.6098,0.5955,0.0446,0.0276,0.017
153513050,Evercrest Golf Club and Resort,0.6612,0.6339,0.6272,0.7021,0.6796,0.6877,-0.0457,-0.0408,-0.0049
173399846,Air Force City Golf Course,0.3889,0.3614,0.3179,0.3363,0.3346,0.3187,0.0268,0.0526,-0.0258
99512563,Royal Northwoods,0.637,0.6165,0.6063,0.494,0.397,0.4621,0.2195,0.143,0.0765
511373987,Victorias Golf and Country Club,0.7184,0.6766,0.6819,0.5777,0.5671,0.59,0.1096,0.1407,-0.0311
286864651,Hallow Ridge Filipinas Golf,0.596,0.5337,0.6003,0.4508,0.398,0.437,0.1356,0.1452,-0.0096
13509276,Ayala Greenfield Golf and Leisure Club,0.6522,0.6433,0.5734,0.6673,0.6299,0.5965,0.0134,-0.0152,0.0285
1120578954,South Pacific Davao Golf Club,0.5716,0.5862,0.5903,0.594,0.5865,0.568,-0.0003,-0.0225,0.0222
30478360,Apo Golf and Country Club,0.7222,0.7218,0.7534,0.4887,0.4864,0.5092,0.2354,0.2335,0.0019
17250995,Lakewood Golf Course,0.483,0.4264,0.5061,0.5698,0.5742,0.5424,-0.1478,-0.0869,-0.0609
4913973,Alabang Country Club,0.6492,0.6166,0.6613,0.4042,0.3902,0.4319,0.2264,0.245,-0.0186
1262766897,South Forbes Golf Club,0.6437,0.6533,0.6512,0.6257,0.6304,0.6355,0.0229,0.018,0.0049
128616401,Villamor Air Base Golf Course,0.6346,0.5978,0.6398,0.1824,0.1929,0.2018,0.4049,0.4522,-0.0473
153513039,Splendido Golf Course,0.5752,0.5946,0.5857,0.7147,0.6983,0.6863,-0.1037,-0.1395,0.0359
269467713,Royal Garden Golf,0.4614,0.4056,0.5719,0.3378,0.3021,0.2565,0.1035,0.1236,-0.0201
9630843,Fairways and Bluewater Resort Golf and Country Club,0.4861,0.4215,0.405,0.5247,0.517,0.5243,-0.0955,-0.0386,-0.0568
67137399,Cebu Country Club,0.6294,0.512,0.5434,0.2366,0.2201,0.2569,0.2919,0.3928,-0.1008
244117954,Mactan Island Golf Club,0.5951,0.4634,0.5557,0.3143,0.2773,0.3262,0.1861,0.2808,-0.0948
83415116,Leyte Golf and Country Club,0.6854,0.4882,0.7123,0.6896,0.5745,0.7227,-0.0863,-0.0041,-0.0822
167420206,Iloilo Golf and Country Club,0.6681,0.5712,0.6639,0.5938,0.5375,0.6298,0.0337,0.0742,-0.0405
1415089965,,0.4419,0.3885,0.542,0.7229,0.6632,0.7391,-0.2747,-0.281,0.0063
8326757,Manila Golf and Country Club,0.7202,0.7407,0.7035,0.3186,0.3389,0.3599,0.4018,0.4016,0.0003
246446745,,0.5554,0.5172,0.5703,0.4571,0.4403,0.4875,0.0769,0.0983,-0.0214
15273788,Zamora Championship Course,0.56,0.4737,0.5244,0.5656,0.5299,0.5812,-0.0562,-0.0056,-0.0506
245376615,San Juanico Golf And Country Club,0.6245,0.5928,0.5651,0.6604,0.6611,0.6362,-0.0683,-0.0359,-0.0324
53625579,Negros Occidental Golf and Country Club,0.6586,0.4595,0.6434,0.4239,0.3568,0.4152,0.1027,0.2347,-0.1319
515497211,"Bacolod Golf & Country Club, INC.",0.6523,0.4892,0.6649,0.4911,0.3764,0.5016,0.1128,0.1612,-0.0484
942438304,Fernando Air Base Golf Club,0.5717,0.5359,0.5229,0.5127,0.4733,0.4575,0.0626,0.059,0.0036
1520602515,Tagaytay Highlands International Golf Club,0.6431,0.6657,0.6579,0.6933,0.7377,0.7261,-0.072,-0.0502,-0.0218
150436422,Club Filipino Golf Course,0.6874,0.6679,0.674,0.6388,0.6155,0.6827,0.0523,0.0486,0.0037
1347745645,Tandatangan Golf Course,0.3199,0.4732,0.5195,0.4725,0.4014,0.4791,0.0718,-0.1526,0.2244
306524835,Antonio Bautista Golf Course,0.6191,0.5581,0.6255,0.42,0.3708,0.428,0.1874,0.1991,-0.0117
310023913,Edwin Andrews Air Base Golf Club,0.5626,0.475,0.5516,0.4116,0.3559,0.3739,0.1191,0.151,-0.0319
101917627,,0.5243,0.4881,0.4818,0.2933,0.2631,0.2855,0.2251,0.2309,-0.0059
8212685,Veterans Memorial Medical Center Golf Course,0.5482,0.5336,0.5831,0.2457,0.2629,0.2764,0.2707,0.3025,-0.0318
1058754970,Fontana Golf,0.5425,0.5464,0.5413,0.4788,0.463,0.4712,0.0833,0.0637,0.0197
27832144,Philippine Navy Golf Club,0.6206,0.6288,0.6835,0.3464,0.3566,0.3744,0.2723,0.2743,-0.002
175533230,,0.6253,0.4486,0.681,0.332,0.2751,0.3698,0.1734,0.2933,-0.1199
13655553,Rio Tuba Nickel Mining Corp Golf Club,0.5765,0.4451,0.702,0.5957,0.5317,0.6687,-0.0865,-0.0192,-0.0673
16741298,The Cliff Golf Course,0.41,0.3983,0.4169,0.2099,0.2353,0.258,0.163,0.2001,-0.0371
113548725,,0.6822,0.6555,0.5455,0.631,0.6872,0.6451,-0.0317,0.0511,-0.0829
19224722,Camp John Hay Golf Course,0.6198,0.5925,0.6158,0.6291,0.6092,0.6403,-0.0168,-0.0093,-0.0075
550922162,Dole Kalsangi Golf Club,0.7047,0.73,0.7499,0.6902,0.7171,0.7163,0.0129,0.0144,-0.0015
397901069,Sarangani Golf & Country Club,0.6068,0.5966,0.6357,0.6274,0.6573,0.6493,-0.0607,-0.0206,-0.0401
14196103,Capitol Hills Golf and Country Club,0.5679,0.6003,0.5869,0.3833,0.3982,0.4102,0.2021,0.1846,0.0175
150765385,Ponderosa Golf Course,0.7925,0.7997,0.802,0.8368,0.8446,0.8444,-0.0449,-0.0443,-0.0006
234890223,Banaba Golf Club,0.5334,0.5215,0.5999,0.345,0.3215,0.3364,0.2001,0.1884,0.0116
27189526,Camp Aguinaldo Golf Course,0.6121,0.6051,0.7018,0.2866,0.2947,0.3218,0.3104,0.3255,-0.0151
1216020018,Paraiso Golf Course,0.5869,0.4747,0.5915,0.6823,0.6121,0.684,-0.1374,-0.0954,-0.042
32750431,,0.611,0.6133,0.634,0.6681,0.6914,0.6782,-0.0781,-0.0571,-0.021
1450616996,Don Paco Rocamora Golf & Country Club,0.5018,0.516,0.5777,0.689,0.6948,0.6454,-0.1787,-0.1872,0.0085
251713251,Ang Tay Golf Course,0.6512,0.578,0.7416,0.4188,0.3963,0.4373,0.1817,0.2324,-0.0507
30783169,Cattle Creek,0.6564,0.583,0.5988,0.6117,0.5163,0.5018,0.0667,0.0446,0.0221
17944530,Club Intramuros Golf Course,0.5655,0.4204,0.4886,0.2256,0.2234,0.2602,0.197,0.3398,-0.1428
542005767,Iligan City Golf Course,0.7152,0.7318,0.7151,0.6792,0.7044,0.6793,0.0274,0.036,-0.0086
184128526,Camp Evangelista Golf Club,0.4919,0.3766,0.6704,0.3627,0.3654,0.3999,0.0111,0.1293,-0.1181
146996117,,0.411,0.4571,0.4063,0.4664,0.4663,0.4584,-0.0092,-0.0554,0.0462
1498101159,Haciendas de Naga,0.6265,0.515,0.6321,0.7131,0.6311,0.6501,-0.1161,-0.0866,-0.0295
664750028,San Antonio Golf Course,0.6514,0.631,0.7589,0.6028,0.6056,0.6988,0.0254,0.0486,-0.0231
14143603,Baguio Country Club Golf Course,0.6528,0.6577,0.6404,0.5405,0.5031,0.5409,0.1546,0.1123,0.0422
107092431,,0.5571,0.5182,0.5527,0.5044,0.5026,0.5101,0.0157,0.0527,-0.037
27832178,Philippine Army Golf Club,0.6105,0.6475,0.6476,0.3268,0.319,0.3587,0.3286,0.2837,0.0449
32750230,,0.6748,0.6901,0.6559,0.6637,0.6938,0.6909,-0.0038,0.0111,-0.0148
32750176,,0.6738,0.6815,0.6573,0.738,0.7901,0.7831,-0.1086,-0.0642,-0.0444
537391355,Punta Fuego Golf Club,0.4599,0.4824,0.4884,0.1983,0.2006,0.2033,0.2819,0.2616,0.0203
318352365,Basa Air Base Golf Course,0.4851,0.4561,0.463,0.51,0.4919,0.5076,-0.0358,-0.0249,-0.0109
1350772044,Perfect Star Golf Course,0.5665,0.5833,0.5998,0.6734,0.6751,0.6648,-0.0918,-0.1069,0.0151
16312972,Illana Bay Golf & Country Club,0.7217,0.73,0.7853,0.6746,0.6831,0.6989,0.0468,0.0471,-0.0002
683035062,West Highlands Golf Course,0.6645,0.7302,0.7292,0.6051,0.6771,0.6754,0.0531,0.0593,-0.0063
273056776,Royale Tagaytay,0.6744,0.6135,0.6261,0.4802,0.467,0.4315,0.1465,0.1942,-0.0477
281980715,,0.3261,0.231,0.4665,0.6142,0.6586,0.6687,-0.4276,-0.2882,-0.1394
137911884,Basa Air Base Golf Course,0.5258,0.5312,0.533,0.4189,0.4271,0.4018,0.1041,0.1069,-0.0028
264770929,Olot Golf Course,0.7757,0.6891,0.7015,0.4856,0.4904,0.476,0.1987,0.2901,-0.0914
80393802,The Cliff Golf Course,0.4128,0.3915,0.394,0.1578,0.1607,0.1651,0.2308,0.255,-0.0241
246644550,,0.5239,0.5039,0.5053,0.5486,0.4533,0.5395,0.0506,-0.0247,0.0753
121047040,,0.5182,0.4852,0.4063,0.2256,0.2199,0.2075,0.2654,0.2926,-0.0272
1568934,Caliraya Spring Golf & Country Club,0.6061,0.6942,0.4762,0.488,0.5713,0.4978,0.1229,0.1182,0.0047
20507414,Lepanto Mines Golf Course,0.4684,0.4633,0.4831,0.6072,0.5856,0.6092,-0.1223,-0.1389,0.0166
109833384,,0.7117,0.7645,0.5732,0.5358,0.6091,0.5491,0.1554,0.1758,-0.0204
32750324,,0.673,0.7013,0.6905,0.6467,0.683,0.6581,0.0183,0.0263,-0.0079
213709056,,0.3997,0.3834,0.5031,0.4537,0.4168,0.4946,-0.0334,-0.054,0.0206
32759572,,0.6536,0.6631,0.6266,0.7195,0.7446,0.7393,-0.0815,-0.0659,-0.0156
17908468,,0.5117,0.3981,0.551,0.1208,0.1214,0.1486,0.2767,0.3909,-0.1143
175010424,Hampas Lupa Golf Driving Range,0.6488,0.5798,0.6855,0.3207,0.2876,0.3014,0.2922,0.3282,-0.036
703800716,,0.5669,0.5606,0.5583,0.6784,0.5822,0.6119,-0.0217,-0.1116,0.0899
184362383,Camp Aguinaldo Golf Course,0.58,0.6061,0.6419,0.2328,0.2531,0.2825,0.353,0.3472,0.0058
160903445,LLCI,0.5427,0.4881,0.5667,0.6388,0.5793,0.6953,-0.0912,-0.0961,0.0049
1105103473,Davao Eaglemasters Golf Driving Range,0.5799,0.5276,0.4769,0.5232,0.4813,0.545,0.0464,0.0567,-0.0104
184362384,Camp Aguinaldo Golf Course,0.6396,0.6802,0.6442,0.2607,0.2943,0.3273,0.3858,0.3789,0.0069
16751280,Laguna Bel Air Mini Golf Course,0.7287,0.573,0.7378,0.361,0.3788,0.3756,0.1942,0.3677,-0.1735
703800717,,0.6393,0.6721,0.58,0.6676,0.5992,0.6195,0.0729,-0.0282,0.1011
35213090,Las Piñas Driving Range,0.3823,0.2744,0.4,0.1976,0.1991,0.2245,0.0754,0.1847,-0.1093
7588874,Driving range,0.4263,0.2636,0.3997,0.4684,0.3811,0.4248,-0.1174,-0.0421,-0.0754
1209424422,,0.707,0.7631,0.7248,0.8495,0.8677,0.8555,-0.1045,-0.1425,0.038
66703198,EG Golf & Driving Range,0.3058,0.274,0.2233,0.3869,0.3333,0.2794,-0.0593,-0.0811,0.0219
142839733,Iloilo Golf Driving Range,0.5534,0.4095,0.6059,0.4203,0.4177,0.4213,-0.0082,0.1331,-0.1413
60121152,City Golf,0.3352,0.2222,0.2369,0.2291,0.2454,0.2719,-0.0232,0.1062,-0.1293
1468599051,,0.3798,0.2629,0.4258,0.6043,0.5567,0.6196,-0.2938,-0.2244,-0.0693
150835617,"Driving Range, fenced",0.427,0.3771,0.3996,0.2239,0.224,0.1547,0.1531,0.2031,-0.05
702047132,,0.614,0.6012,0.5552,0.695,0.6103,0.6445,-0.0091,-0.081,0.0719
1468599052,,0.3705,0.309,0.478,0.6165,0.5751,0.6366,-0.2661,-0.246,-0.0201
1241013713,,0.3804,0.2177,0.4198,0.4537,0.4332,0.492,-0.2155,-0.0733,-0.1422
1455691384,,0.5268,0.5534,0.5863,0.5906,0.4508,0.4621,0.1026,-0.0638,0.1664
1116950585,Pitch & Putt,0.6185,0.5485,0.525,0.5168,0.4489,0.5415,0.0996,0.1017,-0.0021
32775560,,0.5877,0.5878,0.6099,0.3009,0.3023,0.3136,0.2855,0.2867,-0.0013
1468599053,,0.4997,0.2506,0.5347,0.4451,0.4157,0.4657,-0.1651,0.0546,-0.2197
1468599054,,0.5172,0.3082,0.591,0.4567,0.4371,0.4794,-0.1289,0.0605,-0.1895
